Theorem,Statement,Proof
3.2,"Suppose

(a) $M$ is a subspace of a real vector space $X$,

(b) $p: X \rightarrow R$ satisfies

$$
p(x+y) \leq p(x)+p(y) \quad \text { and } \quad p(t x)=p(x)
$$

if $x \in X, y \in X, t \geq 0$,

(c) $f: M \rightarrow R$ is linear and $f(x) \leq p(x)$ on $M$.

Then there exists a linear $\Lambda: X \rightarrow R$ such that

$$
\Lambda x=f(x) \quad(x \in M)
$$

and

$$
-p(-x) \leq \Lambda x \leq p(x) \quad(x \in X)
$$

","If $M \neq X$, choose $x_{1} \in X, x_{1} \notin M$, and define

$$
M_{1}=\left\{x+t x_{1}: x \in M, t \in R\right\}
$$

It is clear that $M_{1}$ is a vector space. Since

$$
f(x)+f(y)=f(x+y) \leq p(x+y) \leq p\left(x-x_{1}\right)+p\left(x_{1}+y\right)
$$

we have

$$
f(x)-p\left(x-x_{1}\right) \leq p\left(y+x_{1}\right)-f(y) \quad(x, y \in M)
$$

Let $\alpha$ be the least upper bound of the left side of (1), as $x$ ranges over $M$. Then

$$
f(x)-\alpha \leq p\left(x-x_{1}\right) \quad(x \in M)
$$

and

$$
f(y)+\alpha \leq p\left(y+x_{1}\right) \quad(y \in M) .
$$

Define $f_{1}$ on $M_{1}$ by

Then $f_{1}=f$ on $M$, and $f_{1}$ is linear on $M_{1}$.

$$
f_{1}\left(x+t x_{1}\right)=f(x)+t \alpha \quad(x \in M, t \in R) .
$$

Take $t>0$, replace $x$ by $t^{-1} x$ in (2), replace $y$ by $t^{-1} y$ in (3), and multiply the resulting inequalities by $t$. In combination with (4), this proves that $f_{1} \leq p$ on $M_{1}$.

The second part of the proof can be done by whatever one's favorite method of transfinite induction is; one can use well-ordering, or Zorn's lemma, or Hausdorff's maximality theorem.

Let $\mathscr{P}$ be the collection of all ordered pairs $\left(M^{\prime}, f^{\prime}\right)$, where $M^{\prime}$ is a subspace of $X$ that contains $M$ and $f^{\prime}$ is a linear functional on $M^{\prime}$ that extends $f$ and satisfies $f^{\prime} \leq p$ on $M^{\prime}$. Partially order $\mathscr{P}$ by declaring $\left(M^{\prime}, f^{\prime}\right) \leq\left(M^{\prime \prime}, f^{\prime \prime}\right)$ to mean that $M^{\prime} \subset M^{\prime \prime}$ and $f^{\prime \prime}=f^{\prime}$ on $M^{\prime}$. By Hausdorff's maximality theorem there exists a maximal totally ordered subcollection $\Omega$ of $\mathscr{P}$.

Let $\Phi$ be the collection of all $M^{\prime}$ such that $\left(M^{\prime}, f^{\prime}\right) \in \Omega$. Then $\Phi$ is totally ordered by set inclusion, and the union $\tilde{M}$ of all members of $\Phi$ is therefore a subspace of $X$. If $x \in \tilde{M}$ then $x \in M^{\prime}$ for some $M^{\prime} \in \Phi$; define $\Lambda x=f^{\prime}(x)$, where $f^{\prime}$ is the function which occurs in the pair $\left(M^{\prime}, f^{\prime}\right) \in \Omega$.

It is now easy to check that $\Lambda$ is well defined on $\tilde{M}$, that $\Lambda$ is linear, and that $\Lambda \leq p$. If $\tilde{M}$ were a proper subspace of $X$, the first part of the proof would give a further extension of $\Lambda$, and this would contradict the maximality of $\Omega$. Thus $\tilde{M}=X$.

Finally, the inequality $\Lambda \leq p$ implies that

$$
-p(-x) \leq-\Lambda(-x)=\Lambda x
$$

for all $x \in X$. This completes the proof."
4.13,"Let $U$ and $V$ be the open unit balls in the Banach spaces $X$ and $Y$, respectively. If $T \in \mathscr{B}(X, Y)$ and $\delta>0$, then the implications

$$
(a) \rightarrow(b) \rightarrow(c) \rightarrow(d)
$$

hold among the following statements:

(a) $\left\|T^{*} y^{*}\right\| \geq \delta\left\|y^{*}\right\|$ for every $y^{*} \in Y^{*}$.

(b) $\overline{T(U)} \supset \delta V$.

(c) $T(U) \supset \delta V$.

(d) $T(X)=Y$.

Moreover, if (d) holds, then (a) holds for some $\delta>0$.","Assume $(a)$, and pick $y_{0} \notin \overline{T(U)}$. Since $\overline{T(U)}$ is convex, closed, and balanced, Theorem 3.7 shows that there is a $y^{*}$ such that $\left|\left\langle y, y^{*}\right\rangle\right| \leq 1$ for every $y \in \overline{T(U)}$, but $\left|\left\langle y_{0}, y^{*}\right\rangle\right|>1$. If $x \in U$, it follows that

$$
\left|\left\langle x, T^{*} y^{*}\right\rangle\right|=\left|\left\langle T x, y^{*}\right\rangle\right| \leq 1
$$

Thus $\left\|T^{*} y^{*}\right\| \leq 1$, and now (a) gives

$$
\delta<\delta\left|\left\langle y_{0}, y^{*}\right\rangle\right| \leq \delta\left\|y_{0}\right\|\left\|y^{*}\right\| \leq\left\|y_{0}\right\|\left\|T^{*} y^{*}\right\| \leq\left\|y_{0}\right\| \text {. }
$$

It follows that $y \in \overline{T(U)}$ if $\|y\| \leq \delta$. Thus $(a) \rightarrow(b)$.

Next, assume $(b)$. Take $\delta=1$, without loss of generality. Then $\overline{T(U)} \supset \bar{V}$. To every $y \in Y$ and every $\varepsilon>0$ corresponds therefore an $x \in X$ with $\|x\| \leq\|y\|$ and $\|y-T x\|<\varepsilon$.

Pick $y_{1} \in V$. Pick $\varepsilon_{n}>0$ so that

$$
\sum_{n=1}^{\infty} \varepsilon_{n}<1-\left\|y_{1}\right\|
$$

Assume $n \geq 1$ and $y_{n}$ is picked. There exists $x_{n}$ such that $\left\|x_{n}\right\| \leq\left\|y_{n}\right\|$ and $\left\|y_{n}-T x_{n}\right\|<\varepsilon_{n}$. Put

$$
y_{n+1}=y_{n}-T x_{n} \text {. }
$$

By induction, this process defines two sequences $\left\{x_{n}\right\}$ and $\left\{y_{n}\right\}$. Note that

$$
\left\|x_{n+1}\right\| \leq\left\|y_{n+1}\right\|=\left\|y_{n}-T x_{n}\right\|<\varepsilon_{n}
$$

Hence

$$
\sum_{n=1}^{\infty}\left\|x_{n}\right\| \leq\left\|x_{1}\right\|+\sum_{n=1}^{\infty} \varepsilon_{n} \leq\left\|y_{1}\right\|+\sum_{n=1}^{\infty} \varepsilon_{n}<1
$$

It follows that $x=\sum x_{n}$ is in $U$ (see Exercise 23) and that

$$
T x=\lim _{N \rightarrow \infty} \sum_{n=1}^{N} T x_{n}=\lim _{N \rightarrow \infty} \sum_{n=1}^{N}\left(y_{n}-y_{n+1}\right)=y_{1}
$$

since $y_{N+1} \rightarrow 0$ as $N \rightarrow \infty$. Thus $y_{1}=T x \in T(U)$, which proves $(c)$.

Note that the preceding argument is just a specialized version of part of the proof of the open mapping theorem 2.11.

That $(c)$ implies $(d)$ is obvious.

Assume $(d)$. By the open mapping theorem, there is a $\delta>0$ such that $T(U) \supset \delta V$. Hence

$$
\begin{aligned}
\left\|T^{*} y^{*}\right\| & =\sup \left\{\left|\left\langle x, T^{*} y^{*}\right\rangle\right|: x \in U\right\} \\
& =\sup \left\{\left|\left\langle T x, y^{*}\right\rangle\right|: x \in U\right\} \\
& \geq \sup \left\{\left|\left\langle y, y^{*}\right\rangle\right|: y \in \delta V\right\}=\delta\left\|y^{*}\right\|
\end{aligned}
$$

for every $y^{*} \in Y^{*}$. This is $(a)$."
1.11,"If $\mathscr{B}$ is a local base for a topological vector space $X$, then every member of $\mathscr{B}$ contains the closure of some member of $\mathscr{B}$.","So far we have not used the assumption that every point of $X$ is a closed set. We now use it and apply Theorem 1.10 to a pair of distinct points in place of $K$ and $C$. The conclusion is that these points have disjoint neighborhoods. In other words, the Hausdorff separation axiom holds."
1.12,Every topological vector space is a Hausdorff space.,
1.13 (a),"Let $X$ be a topological vector space. If $A \subset X$ then $\bar{A}=\bigcap(A+V)$, where $V$ runs through all neighborhoods of 0 .","$x \in \bar{A}$ if and only if $(x+V) \cap A \neq \varnothing$ for every neighborhood $V$ of 0 , and this happens if and only if $x \in A-V$ for every such $V$. Since $-V$ is a neighborhood of 0 if and only if $V$ is one, the proof is complete."
1.13 (b),"Let $X$ be a topological vector space. If $A \subset X$ and $B \subset X$, then $\bar{A}+\bar{B} \subset \overline{A+B}$.","Take $a \in \bar{A}, b \in \bar{B}$; let $W$ be a neighborhood of $a+b$. There are neighborhoods $W_{1}$ and $W_{2}$ of $a$ and $b$ such that $W_{1}+W_{2} \subset W$. There exist $x \in A \cap W_{1}$ and $y \in B \cap W_{2}$, since $a \in \bar{A}$ and $b \in \bar{B}$. Then $x+y$ lies in $(A+B) \cap W$, so that this intersection is not empty. Consequently, $a+b \in \overline{A+B}$."
1.13 (c),"Let $X$ be a topological vector space. If $Y$ is a subspace of $X$, so is $\bar{Y}$.","Suppose $\alpha$ and $\beta$ are scalars. By the proposition in Section 1.7, $a \bar{Y}=\overline{\alpha Y}$ if $\alpha \neq 0$; if $\alpha=0$, these two sets are obviously equal. Hence it follows from $1.13 (b)$ that

$$
\alpha \bar{Y}+\beta \bar{Y}=\overline{\alpha Y}+\overline{\beta Y} \subset \overline{\alpha Y+\beta Y} \subset \bar{Y}
$$

the assumption that $Y$ is a subspace was used in the last inclusion."
1.13 (d),"Let $X$ be a topological vector space. If $C$ is a convex subset of $X$, so are $\bar{C}$ and $C^{\circ}$.","Since $C^{\circ} \subset C$ and $C$ is convex, we have

$$
t C^{\circ}+(1-t) C^{\circ} \subset C
$$

if $0<t<1$. The two sets on the left are open; hence so is their sum. Since every open subset of $C$ is a subset of $C^{\circ}$, it follows that $C^{\circ}$ is convex."
1.13 (e),"Let $X$ be a topological vector space. If $B$ is a balanced subset of $X$, so is $\bar{B}$; if also $0 \in B^{\circ}$ then $B^{\circ}$ is balanced.","If $0<|\alpha| \leq 1$, then $\alpha B^{\circ}=(\alpha B)^{\circ}$, since $x \rightarrow \alpha x$ is a homeomorphism. Hence $\alpha B^{\circ} \subset \alpha B \subset B$, since $B$ is balanced. But $\alpha B^{\circ}$ is open. So $\alpha B^{\circ} \subset B^{\circ}$. If $B^{\circ}$ contains the origin, then $\alpha B^{\circ} \subset B^{\circ}$ even for $\alpha=0$."
1.13 (f),"Let $X$ be a topological vector space. If $E$ is a bounded subset of $X$, so is $\bar{E}$.","Let $V$ be a neighborhood of 0 . By Theorem 1.11, $\bar{W} \subset V$ for some neighborhood $W$ of 0 . Since $E$ is bounded, $E \subset t W$ for all sufficiently large $t$. For these $t$, we have $\bar{E} \subset t \bar{W} \subset t V$."
1.14 (a),"In a topological vector space $X$, every neighborhood of 0 contains a balanced neighborhood of 0 .","Suppose $U$ is a neighborhood of 0 in $X$. Since scalar multiplication is continuous, there is a $\delta>0$ and there is a neighborhood $V$ of 0 in $X$ such that $\alpha V \subset U$ whenever $|\alpha|<\delta$. Let $W$ be the union of all these sets $\alpha V$. Then $W$ is a neighborhood of $0, W$ is balanced, and $W \subset U$."
1.14 (b),"In a topological vector space $X$, every convex neighborhood of 0 contains a balanced convex neighborhood of 0 .","Suppose $U$ is a convex neighborhood of 0 in $X$. Let $A=\bigcap \alpha U$, where $\alpha$ ranges over the scalars of absolute value 1 . Choose $W$ as in part $1.14 (a)$. Since $W$ is balanced, $\alpha^{-1} W=W$ when $|\alpha|=1$; hence $W \subset \alpha U$. Thus $W \subset A$, which implies that the interior $A^{\circ}$ of $A$ is a neighborhood of 0 . Clearly $A^{\circ} \subset U$. Being an intersection of convex sets, $A$ is convex; hence so is $A^{\circ}$. To prove that $A^{\circ}$ is a neighborhood with the desired properties, we have to show that $A^{\circ}$ is balanced; for this it suffices to prove that $A$ is balanced. Choose $r$ and $\beta$ so that $0 \leq r \leq 1,|\beta|=1$. Then

$$
r \beta A=\bigcap_{|\alpha|=1} r \beta \alpha U=\bigcap_{|\alpha|=1} r \alpha U
$$

Since $\alpha U$ is a convex set that contains 0 , we have $r \alpha U \subset \alpha U$. Thus $r \beta A \subset A$, which completes the proof."
5.22,"Let $\left\{x_{n}\right\}$ be a sequence in a Banach space $X$, with $\left\|x_{n}\right\| \leq$ 1 for all $n$, and suppose that there is a $\delta>0$ such that

$$
\sup \left|\left\langle x_{n}, x^{*}\right\rangle\right| \geq \delta\left\|x^{*}\right\|
$$

for every $x^{*} \in X^{*}$. If $\varepsilon>0$, every $x \in X$ can then be represented in the form

$$
x=\sum_{n=1}^{\infty} c_{n} x_{n}
$$

with $\delta \sum_{1}^{\infty}\left|c_{n}\right| \leq\|x\|+\varepsilon$.","Define $T: \ell^{1} \rightarrow X$ by $T c=\sum_{1}^{\infty} c_{n} x_{n}$, for $c=\left\{c_{1}, c_{2}, c_{3}, \ldots\right\} \in l^{1}$.

Then, for every $x^{*} \in X^{*}$,

$$
\left\langle c, T^{*} x^{*}\right\rangle=\left\langle T c, x^{*}\right\rangle=\sum_{1}^{\infty} c_{n}\left\langle x_{n}, x^{*}\right\rangle
$$

so that

$$
\left|\sum_{1}^{\infty} c_{n}\left\langle x_{n}, x^{*}\right\rangle\right| \leq\left\|T^{*} x^{*}\right\|
$$

if $\|c\|_{1} \leq 1$. The supremum of the left side, over all such $c$, is $\sup _{n}\left|\left\langle x_{n}, x^{*}\right\rangle\right|$, which is $\geq \delta\left\|x^{*}\right\|$ by assumption. Theorem 4.13 asserts therefore that $T$ maps the set of all $c$ with $\sum\left|c_{n}\right|<1 / \delta$ onto a set that contains the open unit ball of $X$."
3.20 (a),"If $A_{1}, \ldots, A_{n}$ are compact convex sets in a topological vector space $X$, then $\operatorname{co}\left(A_{1} \cup \cdots \cup A_{n}\right)$ is compact.","Let $S$ be the simplex in $R^{n}$ consisting of all $s=\left(s_{1}, \ldots, s_{n}\right)$ with $s_{i} \geq 0, \quad s_{1}+\cdots+s_{n}=1$. Put $A=A_{1} \times \cdots \times A_{n}$. Define $f: S \times A \rightarrow X$ by

$$
f(s, a)=s_{1} a_{1}+\cdots+s_{n} a_{n}
$$

and put $K=f(S \times A)$.

It is clear that $K$ is compact and that $K \subset \operatorname{co}\left(A_{1} \cup \cdots \cup A_{n}\right)$. We will see that this inclusion is actually an equality.

If $(s, a)$ and $(t, b)$ are in $S \times A$ and if $\alpha \geq 0, \beta \geq 0, \alpha+\beta=1$, then

$$
\alpha f(s, a)+\beta f(t, b)=f(u, c)
$$

where $u=\alpha s+\beta t \in S$ and $c \in A$, because

$$
c_{i}=\frac{\alpha s_{i} a_{i}+\beta t_{i} b_{i}}{\alpha s_{i}+\beta t_{i}} \in A_{i} \quad(1 \leq i \leq n)
$$

This shows that $K$ is convex. Since $A_{i} \subset K$ for each $i$ [take $s_{i}=1$ in (1), $s_{j}=0$ for $\left.j \neq i\right]$, the convexity of $K$ implies that $\operatorname{co}\left(A_{1} \cup \cdots \cup\right.$ $\left.A_{n}\right) \subset K$. This proves $(a)$."
3.20 (b),"If $X$ is a locally convex topological vector space and $E \subset X$ is totally bounded, then $\operatorname{co}(E)$ is totally bounded.","Let $U$ be a neighborhood of 0 in $X$. Choose a convex neighborhood $V$ of 0 in $X$ such that $V+V \subset U$. Then $E \subset F+V$ for some finite set $F \subset X$. Hence $E \subset c o(F)+V$. The latter set is convex. It follows that

$$
\operatorname{co}(E) \subset \operatorname{co}(F)+V .
$$

But $c o(F)$ is compact [a special case of $(a)$ ], and therefore $c o(F) \subset$ $F_{1}+V$ for some finite set $F_{1} \subset X$. Thus

$$
c o(E) \subset F_{1}+V+V \subset F_{1}+U .
$$

Since $U$ was arbitrary, $c o(E)$ is totally bounded."
3.20 (c),"If $X$ is a Fr\'echet space and $K \subset X$ is compact, then $\overline{c o}(K)$ is compact.","Closures of totally bounded sets are totally bounded in every metric space, and hence are compact in every complete metric space (Appendix A4). So if $K$ is compact in a Fr\'echet space, then $K$ is obviously totally bounded; hence $c o(K)$ is totally bounded, by $(b)$, and therefore $\overline{c o}(K)$ is compact."
3.20 (d),"If $K$ is a compact set in $R^{n}$, then $c o(K)$ is compact.","Let $S$ be the simplex in $R^{n+1}$ consisting of all $t=\left(t_{1}, \ldots\right.$, $\left.t_{n+1}\right)$ with $t_{i} \geq 0$ and $\sum t_{i}=1$. Let $K$ be compact, $K \subset R^{n}$. By the proposition that follows, $x \in c o(K)$ if and only if

$$
x=t_{1} x_{1}+\cdots+t_{n+1} x_{n+1}
$$

for some $t \in S$ and $x_{i} \in K(1 \leq i \leq n+1)$. In other words, $c o(K)$ is the image of $S \times K^{n+1}$ under the continuous mapping

$$
\left(t, x_{1}, \ldots, x_{n+1}\right) \rightarrow t_{1} x_{1}+\cdots+t_{n+1} x_{n+1}
$$

Hence $c o(K)$ is compact."
1.24,"If $X$ is a topological vector space with a countable local base, then there is a metric $d$ on $X$ such that

(a) $d$ is compatible with the topology of $X$,

(b) the open balls centered at 0 are balanced, and

(c) $d$ is invariant: $d(x+z, y+z)=d(x, y)$ for $x, y, z \in X$.

If, in addition, $X$ is locally convex, then $d$ can be chosen so as to satisfy $(a),(b),(c)$, and also

(d) all open balls are convex.","By Theorem 1.14, $X$ has a balanced local base $\left\{V_{n}\right\}$ such that

$$
V_{n+1}+V_{n+1}+V_{n+1}+V_{n+1} \subset V_{n} \quad(n+1,2,3, \ldots)
$$

when $X$ is locally convex, this local base can be chosen so that each $V_{n}$ is also convex.

Let $D$ be the set of all rational numbers $r$ of the form

$$
r=\sum_{n=1}^{\infty} c_{n}(r) 2^{-n}
$$

where each of the ""digits"" $c_{i}(r)$ is 0 or 1 and only finitely many are 1 . Thus each $r \in D$ satisfies the inequalities $0 \leq r<1$.

Put $A(r)=X$ if $r \geq 1$; for any $r \in D$, define

$$
A(r)=c_{1}(r) V_{1}+c_{2}(r) V_{2}+c_{3}(r) V_{3}+\cdots
$$

Note that each of these sums is actually finite. Define

$$
f(x)=\inf \{r: x \in A(r)\} \quad(x \in X)
$$

and

$$
d(x, y)=f(x-y) \quad(x \in X, y \in X)
$$

The proof that this $d$ has the desired properties depends on the inclusions

$$
A(r)+A(s) \subset A(r+s) \quad(r \in D, s \in D)
$$

Before proving (6), let us see how the theorem follows from it. Since every $A(s)$ contains 0 , (6) imples

$$
A(r) \subset A(r)+A(t-r) \subset A(t) \quad \text { if } \quad r<t .
$$

Thus $\{A(r)\}$ is totally ordered by set inclusion. We claim that

$$
f(x+y) \leq f(x)+f(y) \quad(x \in X, y \in X) .
$$

In the proof of (8) we may, of course, assume that the right side is $<1$. Fix $\varepsilon>0$. There exist $r$ and $s$ in $D$ such that

$$
f(x)<r, \quad f(y)<s, \quad r+s<f(x)+f(y)+\varepsilon
$$

Thus $x \in A(r), y \in A(s)$, and (6) implies $x+y \in A(r+s)$. Now (8) follows, because

$$
f(x+y) \leq r+s<f(x)+f(y)+\varepsilon,
$$

and $\varepsilon$ was arbitrary.

Since each $A(r)$ is balanced, $f(x)=f(-x)$. It is obvious that $f(0)=0$. If $x \neq 0$, then $x \notin V_{n}=A\left(2^{-n}\right)$ for some $n$, and so $f(x) \geq 2^{-n}>0$.

These properties of $f$ show that (5) defines a translation-invariant metric $d$ on $X$. The open balls centered at 0 are the open sets

$$
B_{\delta}(0)=\{x: f(x)<\delta\}=\bigcup_{r<\delta} A(r)
$$

If $\delta<2^{-n}$, then $B_{\delta}(0) \subset V_{n}$. Hence $\left\{B_{\delta}(0)\right\}$ is a local base for the topology of $X$. This proves $(a)$. Since each $A(r)$ is balanced, so is each $B_{\delta}(0)$.

If each $V_{n}$ is convex, so is each $A(r)$, and (9) implies that the same is true of each $B_{\delta}(0)$, hence also of each translate of $B_{\delta}(0)$.

We turn to the proof of (6). If $r+s \geq 1$, then $A(r+s)=X$ and (6) is obvious. We may therefore assume that $r+s<1$, and we will use the following simple proposition about addition in the binary system of notation:

If $r, s$, and $r+s$ are in $D$ and $c_{n}(r)+c_{n}(s) \neq c_{n}(r+s)$ for some $n$, then at the smallest $n$ where this happens we have $c_{n}(r)=c_{n}(s)=0$, $c_{n}(r+s)=1$.

Put $\alpha_{n}=c_{n}(r), \beta_{n}=c_{n}(s), \gamma_{n}=c_{n}(r+s)$. If $\alpha_{n}+\beta_{n}=\gamma_{n}$ for all $n$ then (3) shows that $A(r)+A(s)=A(r+s)$. In the other case, let $N$ be the smallest integer for which $\alpha_{N}+\beta_{N} \neq \gamma_{N}$. Then, as mentioned above, $\alpha_{N}=\beta_{N}=0, \gamma_{N}=1$. Hence

$$
\begin{aligned}
A(r) & \subset \alpha_{1} V_{1}+\cdots+\alpha_{N-1} V_{N-1}+V_{N+1}+V_{N+2}+\cdots \\
& \subset \alpha_{1} V_{1}+\cdots+\alpha_{N-1} V_{N-1}+V_{N+1}+V_{N+1} .
\end{aligned}
$$

Likewise

$$
A(s) \subset \beta_{1} V_{1}+\cdots+\beta_{N-1} V_{N-1}+V_{N+1}+V_{N+1}
$$

Since $\alpha_{n}+\beta_{n}=\gamma_{n}$ for all $n<N$, (1) now leads to

$$
A(r)+A(s) \subset \gamma_{1} V_{1}+\cdots+\gamma_{N-1} V_{n-1}+V_{N} \subset A(r+s)
$$

because $\gamma_{N}=1$."
10.12,"If $A$ is a Banach algebra, then $G(A)$ is an open subset of $A$, and the mapping $x \rightarrow x^{-1}$ is a homeomorphism of $G(A)$ onto $G(A)$.","That $G(A)$ is open and that $x \rightarrow x^{-1}$ is continuous follows from Theorem 10.11. Since $x \rightarrow x^{-1}$ maps $G(A)$ onto $G(A)$ and since it is its own inverse, it is a homeomorphism."
9.5,Suppose $K \in L^{1}\left(R^{n}\right)$ and $Y$ is the smallest closed translation-invariant subspace of $L^{1}\left(R^{n}\right)$ that contains $K$. Then $Y=L^{1}\left(R^{n}\right)$ if and only if $\hat{K}(t) \neq 0$ for every $t \in R^{n}$.,Note that $Z(Y)=\left\{t \in R^{n}: \hat{K}(t)=0\right\}$. The theorem thus asserts that $Y=L^{1}\left(R^{n}\right)$ if and only if $Z(Y)$ is empty. One-half of this is Theorem 9.4; the other half is trivial.
3.5,"Suppose $M$ is a subspace of a locally convex space $X$, and $x_{0} \in X$. If $x_{0}$ is not in the closure of $M$, then there exists $\Lambda \in X^{*}$ such that $\Lambda x_{0}=1$ but $\Lambda x=0$ for every $x \in M$.","By $(b)$ of Theorem 3.4, with $A=\left\{x_{0}\right\}$ and $B=\bar{M}$, there exists $\Lambda \in X^{*}$ such that $\Lambda x_{0}$ and $\Lambda(M)$ are disjoint. Thus $\Lambda(M)$ is a proper
subspace of the scalar field. This forces $\Lambda(M)=\{0\}$ and $\Lambda x_{0} \neq 0$. The desired functional is obtained by dividing $\Lambda$ by $\Lambda x_{0}$."
3.16,"If $X$ is a separable topological vector space, if $K \subset X^{*}$, and if $K$ is weak*-compact, then $K$ is metrizable, in the weak*-topology.","Let $\left\{x_{n}\right\}$ be a countable dense set in $X$. Put $f_{n}(\Lambda)=\Lambda x_{n}$, for $\Lambda \in X^{*}$. Each $f_{n}$ is weak*-continuous, by the definition of the weak*topology. If $f_{n}(\Lambda)=f_{n}\left(\Lambda^{\prime}\right)$ for all $n$, then $\Lambda x_{n}=\Lambda^{\prime} x_{n}$ for all $n$, which implies that $\Lambda=\Lambda^{\prime}$, since both are continuous on $X$ and coincide on a dense set.

Thus $\left\{f_{n}\right\}$ is a countable family of continuous functions that separates points on $X^{*}$. The metrizability of $K$ now follows from $(c)$ of Section 3.8."
3.29,"Suppose $Q$ is a compact Hausdorff space, $X$ is a Banach space, $f: Q \rightarrow X$ is continuous, and $\mu$ is a positive Borel measure on $Q$. Then

$$
\left\|\int_{Q} f d \mu\right\| \leq \int_{Q}\|f\| d \mu
$$","Put $y=\int f d \mu$. By the corollary to Theorem 3.3, there is a $\Lambda \in X^{*}$ such that $\Lambda y=\|y\|$ and $|\Lambda x| \leq\|x\|$ for all $x \in X$. In particular,

$$
|\Lambda f(s)| \leq\|f(s)\|
$$

for all $s \in Q$. By Theorem 3.27, it follows that

$$
\|y\|=\Lambda y=\int_{Q}(\Lambda f) d \mu \leq \int_{Q}\|f\| d \mu
$$"
10.19,"If $A$ is a Banach algebra and if there exists $M<\infty$ such that

$$
\|x\|\|y\| \leq M\|x y\| \quad(x \in A, y \in A),
$$

then $A$ is (isometrically isomorphic to) $\mathbb{C}$.

","Let $y$ be a boundary point of $G(A)$. Then $y=\lim y_{n}$ for some sequence $\left\{y_{n}\right\}$ in $G(A)$. By Lemma $10.17,\left\|y_{n}^{-1}\right\| \rightarrow \infty$. By hypothesis,

$$
\left\|y_{n}\right\|\left\|y_{n}^{-1}\right\| \leq M\|e\| \quad(n=1,2,3, \ldots)
$$

Hence $\left\|y_{n}\right\| \rightarrow 0$ and therefore $y=0$.

If $x \in A$, each boundary point $\lambda$ of $\sigma(x)$ gives rise to a boundary point $\lambda e-x$ of $G(A)$. Thus $x=\lambda e$. In other words, $A=\{\lambda e: \lambda \in \mathscr{C})$."
12.43,"Let $(\Omega, \mathscr{M}, \mu)$ be as above. If $\psi: \Omega \rightarrow \Omega$ is one-to-one and measure-preserving, and $f \in L^{2}(\mu)$, then the averages

$$
A_{n} f=\frac{1}{n}\left(f+f \circ \psi+\cdots+f \circ \psi^{n-1}\right)
$$

converge, in the $L^{2}$-metric, to some $g \in L^{2}(\mu)$, as $n \rightarrow \infty$.

Moreover, $g \circ \psi=g$. Thus $g$ is the constant $\int_{\Omega} f d \mu$ if $\psi$ is ergodic.",The key to the proof is the observation that the map $f \rightarrow f \circ \psi$ is an isometry of $L^{2}(\mu)$ onto $L^{2}(\mu)$. It is thus a unitary operator on the Hilbert space $L^{2}(\mu)$. The following abstract reformulation of Theorem 12.43 is then an easy consequence of the spectral theorem.
6.23,"If $W$ is as above, then $\Lambda$ vanishes in $W$.","$W$ is the union of open sets $\omega$ in which $\Lambda$ vanishes. Let $\Gamma$ be the collection of these $\omega$ 's, and let $\left\{\psi_{i}\right\}$ be a locally finite partition of unity in $W$, subordinate to $\Gamma$, as in Theorem 6.20. If $\phi \in \mathscr{D}(W)$, then $\phi=\sum \psi_{i} \phi$. Only finitely many terms of this sum are different from 0. Hence

$$
\Lambda \phi=\sum \Lambda\left(\psi_{i} \phi\right)=0
$$

since each $\psi_{i}$ has its support in some $\omega \in \Gamma$."
10.11,"Suppose $A$ is a Banach algebra, $x \in G(A), h \in A$, and $\|h\|<\frac{1}{2}\left\|\mathrm{x}^{-1}\right\|^{-1}$. Then $x+h \in G(A)$, and

$$
\left\|(x+h)^{-1}-x^{-1}+x^{-1} h x^{-1}\right\| \leq 2\left\|x^{-1}\right\|^{3}\|h\|^{2} .
$$","Since $x+h=x\left(e+x^{-1} h\right)$ and $\left\|x^{-1} h\right\|<\frac{1}{2}$, Theorem 10.7 implies that $x+h \in G(A)$ and that the norm of the right member of the identity

$$
(x+h)^{-1}-x^{-1}+x^{-1} h x^{-1}=\left[\left(e+x^{-1} h\right)^{-1}-e+x^{-1} h\right] x^{-1}
$$

is at most $2\left\|x^{-1} h\right\|^{2}\left\|x^{-1}\right\|$."
